name,value
Twitter Web Client,568
Twitter for iPhone,492
Twitter for iPad,324
Twitter for Android,272
Twitter Lite,212
iOS,129
TweetDeck,125
Mobile Web,121
Twitter for Websites,115
Facebook,104
Hootsuite,53
Mobile Web (M2),53
Google,45
Instagram,42
Thunderclap,35
Twitter for Windows Phone,30
Twitter for Mac,27
Periscope,19
Twitter for Windows,18
Twitter Ads,16
Twitter for Android Tablets,15
Twibbon,15
OS X,15
Twitter for BlackBerry,15
Photos on iOS,12
MailChimp,11
Buffer,9
LinkedIn,8
#EU60,8
Tweetbot for iΟS,7
WordPress.com,7
Camera on iOS,7
twitterfeed,7
Media Studio,7
Linkis: turn sharing into growth,6
Echofon,6
Twitlonger,6
Twitter for BlackBerry®,6
Safari on iOS,5
FT Web App,5
Twitterrific,4
Tweetbot for Mac,4
Vine - Make a Scene,4
SociabbleApp,3
NationBuilder,3
PicBadges,3
Twuffer,3
Spotify,3
Social Proxy by Mailchimp,3
Daycause,2
Cloudhopper,2
shareaholic,2
Tweetium for Windows,2
Giphy Share,2
TweetCaster for Android,2
Crowdfire - Go Big,2
Blog2Social by Adenion,2
Storify,2
Foursquare,2
Twittimer,2
Photobooth feed update,2
Election 2017,1
Twitter QandA,1
AldoPatriciello,1
Süddeutsche.de Basic on iOS,1
Sports Tracker,1
Banana Kong on iOS,1
Sprout Social,1
SnappyTV.com,1
erased1004806,1
Social by Nokia,1
Twittelator,1
Twitter for  Android,1
SumAll,1
Apsveic mammu,1
feedly on iOS,1
Vine for Android,1
LiveJournal.com,1
studiVZ,1
Spaz,1
dlvr.it,1
Marine Le Pen 2012 on iOS,1
ZwitscherSharkness,1
Friends Me,1
indoona,1
Twitter for Samsung Tablets,1
Sony Xperia™ smartphone,1
Tweetbot for iOS,1
Twitter Business Experience,1
Le Monde.fr on iOS,1
ouest-france,1
ClockTweets,1
Flickr,1
TwitPane Android,1
Twitshot.com,1
GetResponse,1
Unnamed: 60,1
Tumblr,1
www.fabio-de-masi.de,1
VoiceStorm,1
TweetMeme,1
Dropbox on iOS,1
China Aid,1
Twitpic,1
Tame,1
WMaker,1
IFTTT,1
.DigitaleBox,1
Fenice Trial for Windows,1
passeroazzurro,1
erased6186823,1
Media Contact,1
Twibbon Mobile,1
Nike Application,1
blog catalin ivan,1
server nou blog,1
website server nou,1
WP to twitter per sito,1
Temple Run 2 on iOS,1
lemainelibre,1
Echofon for Android PRO,1
Little Pork Chop,1
Pagemodo.com,1
Plume for Android,1
repost marcozullo.it MEP,1
